Category,Capability,Description,Source File,Entry Function,GUI Connected,Voice Connected,Typed Connected,Router Skill,Planner Action,Dependency,External Software,Requires Login,Test Status,Packaged Status,Live Status,Known Error,Missing Connection,Final Classification,Recommended Action
Desktop,Open files,Open files via os.startfile,skills/system_control.py,open_thing,Yes,Yes,Yes,app.open,N/A,None,None,No,Tested,Both,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Desktop,Window minimize,Minimize window via pygetwindow,skills/window_control.py,minimize_window,No,Yes,Yes,window.minimize,N/A,pygetwindow,None,No,Tested,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Desktop,Window maximize,Maximize window via pygetwindow,skills/window_control.py,maximize_window,No,Yes,Yes,window.maximize,N/A,pygetwindow,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Desktop,Window bring to front,Activate window via pygetwindow,skills/window_control.py,bring_to_front,Yes,Yes,Yes,window.front,N/A,pygetwindow,None,No,Tested,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Desktop,Rename files,Not implemented,None,None,No,No,No,None,None,N/A,None,No,None,None,None,Not implemented,None,MISSING,Implement file rename
Desktop,Move files,Not implemented (except organizer),None,None,No,No,No,None,None,N/A,None,No,None,None,None,Not implemented,None,MISSING,Implement file move
Desktop,Copy files,Not implemented,None,None,No,No,No,None,None,N/A,None,No,None,None,None,Not implemented,None,MISSING,Implement file copy
Desktop,Delete to Trash,Not implemented,None,None,No,No,No,None,None,N/A,None,No,None,None,None,Not implemented,None,MISSING,Implement file delete
Mouse,Mouse movement,Move pointer to coordinates,core/desktop_agent.py,move_pointer,No,No,No,N/A,N/A,pyautogui,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Mouse,Mouse click,Click at coordinates,core/desktop_agent.py,click,No,No,No,N/A,N/A,pyautogui,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Mouse,Mouse drag,Drag from one point to another,core/desktop_agent.py,drag,No,No,No,N/A,N/A,pyautogui,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Mouse,Mouse scroll,Scroll up or down,core/desktop_agent.py,scroll,No,No,No,N/A,N/A,pyautogui,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Keyboard,Type text,Typewrite characters,core/desktop_agent.py,type_text,No,No,No,N/A,N/A,pyautogui,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Keyboard,Hotkeys,Ctrl+C/V/S/A/Z/Y Alt+Tab Alt+F4,core/desktop_agent.py,hotkey,No,No,No,N/A,N/A,pyautogui,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Keyboard,Key hold safety,Release all keys on emergency stop,core/desktop_agent.py,request_stop,No,No,No,N/A,N/A,pyautogui,None,No,Tested,Source only,VERIFIED,None,None,WORKING IN SOURCE ONLY,No action needed
Clipboard,Clipboard read,Read text from clipboard,core/desktop_agent.py,clipboard_read,No,No,No,N/A,N/A,pyperclip,None,No,Tested,Source only,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Clipboard,Clipboard write,Write text to clipboard,core/desktop_agent.py,clipboard_write,No,No,No,N/A,N/A,pyperclip,None,No,Tested,Source only,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Screen,Screenshot,Capture screen to PNG,core/desktop_agent.py,screenshot,Yes,Yes,Yes,system.screenshot,N/A,pyautogui,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Screen,Active window title,Get active window title,core/desktop_agent.py,active_window_title,No,No,No,N/A,N/A,pygetwindow,None,No,Tested,Source only,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Screen,OCR/text extraction,Not implemented,None,None,No,No,No,None,None,N/A,None,No,None,None,None,Not implemented,None,MISSING,Add OCR or UI Automation text extraction
Browser,Playwright browser,Launch persistent Chromium via Playwright,skills/browser.py,BrowserEngine.ensure,Yes,Yes,Yes,browser.open_site,N/A,playwright,Edge/Chrome/Chromium,No,Not run,Packaged BROKEN,FAILED,PermissionError WinError 5 Access denied,None,BROKEN,Run packaged build as administrator or fix Playwright subprocess permissions
Browser,Open website,30 known sites + arbitrary URLs,skills/browser.py,open_site,Yes,Yes,Yes,browser.open_site,N/A,playwright,Edge/Chrome,No,Tested route,Source only,VERIFIED,None,None,WORKING IN SOURCE ONLY,No action needed
Browser,Search web,Google search via browser,skills/browser.py,search_google,No,Yes,Yes,web.search,N/A,playwright,Edge/Chrome,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Browser,YouTube search,Search YouTube via browser,skills/browser.py,search_youtube,Yes,Yes,Yes,browser.search_youtube,Planner 3-step,playwright,Edge/Chrome,No,Tested route,Source only,VERIFIED,None,None,WORKING IN SOURCE ONLY,No action needed
Browser,YouTube playback,Play video via browser tab,skills/media.py,play,No,Yes,Yes,media.play_music,N/A,playwright,Edge/Chrome,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Browser,Page text extraction,Extract article text via requests+BeautifulSoup,skills/news.py,fetch_article_text,No,Yes,No,N/A,N/A,requests,BeautifulSoup,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Browser,Form filling,Not implemented,None,None,No,No,No,None,None,N/A,None,No,None,None,None,Not implemented,None,MISSING,Implement form filling
Browser,File download,Not implemented,None,None,No,No,No,None,None,N/A,None,No,None,None,None,Not implemented,None,MISSING,Implement file download
News,RSS feed parsing,BBC + Google News RSS feeds,skills/news.py,fetch_headlines,No,Yes,Yes,news.latest,N/A,feedparser,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
News,LLM briefing,Spoken news briefing via LLM,skills/news.py,briefing,No,Yes,Yes,news.latest,N/A,None,None,No,Not run,Source only,Unverified,None,None,CONNECTED BUT NOT LIVE VERIFIED,Test with live API key
News,Deep dive article,Summarize specific article,skills/news.py,more_about,No,Yes,Yes,news.more,N/A,requests,BeautifulSoup,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
News,Save to Word docx,Generate .docx briefing on Desktop,skills/news.py,save_news,Yes,Yes,Yes,news.save,N/A,python-docx,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
News,UAE news,Google News search for UAE,skills/news.py,FEEDS,No,Yes,Yes,news.topic,N/A,feedparser,None,No,Not run,Source only,Unverified,Not tested,None,DISABLED,Test UAE news feed
Research,Research mode,Multi-turn deep research,skills/research.py,start,No,Yes,Yes,research.start,Planner 6-step,requests,BeautifulSoup,None,No,Tested route,Source only,Unverified,None,None,CONNECTED BUT NOT LIVE VERIFIED,Test with live API key
Research,Source gathering,DuckDuckGo + Bing HTML search,skills/research.py,gather_sources,No,No,No,research.start,N/A,requests,BeautifulSoup,None,No,Not run,Source only,Unverified,None,None,CONNECTED BUT NOT LIVE VERIFIED,Test with live API key
Research,Finalize to Word docx,Build complete .docx with references,skills/research.py,finalize,No,Yes,Yes,research.finalize,N/A,python-docx,win32com,None,No,Tested route,Source only,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Microsoft Word,Create document,Generate .docx from LLM content,skills/word_skill.py,write_document,Yes,Yes,Yes,word.write,N/A,python-docx,win32com,No,2 tests passed,Both,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Microsoft Word,Open visibly in Word,Open .docx via win32com COM,skills/word_skill.py,_open_in_word,No,No,No,N/A,N/A,pywin32,Microsoft Word,No,Not run,Source only,VERIFIED,None,None,WORKING IN SOURCE ONLY,No action needed
Microsoft Word,Continue document,Append LLM content to existing .docx,skills/word_skill.py,continue_document,No,Yes,Yes,word.continue,N/A,python-docx,win32com,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Microsoft Word,Export PDF,Export via COM,skills/office_service.py,WordService.export_pdf,No,No,No,N/A,N/A,pywin32,Microsoft Word,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Microsoft Word,Unsaved changes,Detect unsaved changes via COM,skills/office_close.py,has_unsaved_changes,No,No,No,N/A,N/A,pywin32,Microsoft Word,No,Tested,Source only,VERIFIED,None,None,WORKING IN SOURCE ONLY,No action needed
Microsoft Word,Insert tables,Not implemented,None,None,No,No,No,None,None,N/A,None,No,None,None,None,Not implemented,None,MISSING,Implement table insertion
Microsoft Word,Insert images,Not implemented,None,None,No,No,No,None,None,N/A,None,No,None,None,None,Not implemented,None,MISSING,Implement image insertion
Microsoft Excel,Create workbook,Generate .xlsx with headers/data/formulas,skills/excel_skill.py,create_spreadsheet,Yes,Yes,Yes,excel.create,N/A,openpyxl,Microsoft Excel,No,1 test passed,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Microsoft Excel,Open visibly in Excel,Open .xlsx via win32com COM,skills/excel_skill.py,_open_in_excel,No,No,No,N/A,N/A,pywin32,Microsoft Excel,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Microsoft Excel,Read workbook,Read and summarize .xlsx,skills/excel_skill.py,read_workbook,No,Yes,Yes,excel.read,N/A,openpyxl,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Microsoft Excel,Charts,Not implemented,None,None,No,No,No,None,None,N/A,None,No,None,None,None,Not implemented,None,MISSING,Implement chart generation
Microsoft PowerPoint,Create presentation,Generate .pptx from LLM outline,skills/ppt_skill.py,create_presentation,Yes,Yes,Yes,ppt.create,N/A,python-pptx,Microsoft PowerPoint,No,1 test passed,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Microsoft PowerPoint,Open visibly in PowerPoint,Open .pptx via win32com COM,skills/ppt_skill.py,_open_in_powerpoint,No,No,No,N/A,N/A,pywin32,Microsoft PowerPoint,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Microsoft PowerPoint,Slideshow,Not implemented,None,None,No,No,No,None,None,N/A,None,No,None,None,None,Not implemented,None,MISSING,Implement slideshow start
Microsoft Outlook,All features,Not implemented,None,None,No,No,No,None,None,N/A,Microsoft Outlook,No,None,None,None,Not implemented,None,MISSING,Implement Outlook support
Microsoft OneNote,All features,Not implemented,None,None,No,No,No,None,None,N/A,Microsoft OneNote,No,None,None,None,Not implemented,None,MISSING,Implement OneNote support
Gmail,Check email,Parse inbox via Playwright Gmail,skills/emailer.py,check_email,No,Yes,Yes,email.check,N/A,playwright,Gmail account,Yes,Not run,Source only,Unverified,Depends on browser,None,CONNECTED BUT NOT LIVE VERIFIED,Log in to Gmail via Playwright profile
Gmail,Read email,Open thread and extract body,skills/emailer.py,read_email,No,Yes,Yes,email.read,N/A,playwright,Gmail account,Yes,Not run,Source only,Unverified,Depends on browser,None,CONNECTED BUT NOT LIVE VERIFIED,Log in to Gmail via Playwright profile
Gmail,Compose email,LLM draft + fill Gmail compose dialog,skills/emailer.py,compose_email,No,Yes,Yes,email.compose,N/A,playwright,Gmail account,Yes,Not run,Source only,Unverified,Depends on browser,None,CONNECTED BUT NOT LIVE VERIFIED,Log in to Gmail via Playwright profile
Gmail,SMTP fallback,Send email via SMTP,skills/emailer.py,_smtp_send,No,No,No,N/A,N/A,smtplib,Gmail account,Yes,Not run,Source only,Unverified,None,None,REQUIRES LOGIN,Set EMAIL_ADDRESS and EMAIL_APP_PASSWORD in .env
WhatsApp,Open app,Launch WhatsApp Desktop via URI,skills/whatsapp.py,open_app,No,Yes,Yes,whatsapp.open,N/A,pywinauto,WhatsApp Desktop,Yes,Not run,Source only,Unverified,None,None,REQUIRES LOGIN,Install and link WhatsApp Desktop
WhatsApp,Read chat,Extract visible messages,skills/whatsapp.py,read_chat,No,Yes,Yes,whatsapp.read,N/A,pywinauto,WhatsApp Desktop,Yes,Not run,Source only,Unverified,None,None,REQUIRES LOGIN,Link WhatsApp Desktop
WhatsApp,Reply to contact,Send message via UI automation,skills/whatsapp.py,reply_to,No,Yes,Yes,whatsapp.reply,N/A,pywinauto,WhatsApp Desktop,Yes,Not run,Source only,Unverified,None,None,REQUIRES LOGIN,Link WhatsApp Desktop
Music,Play music,YouTube search + playback via browser,skills/media.py,play,No,Yes,Yes,media.play_music,N/A,playwright,Edge/Chrome,No,Tested route,Source only,Unverified,Depends on browser,None,WORKING IN SOURCE ONLY,No action needed
Music,Pause/resume,Keyboard k press on YouTube tab,skills/media.py,control,No,Yes,Yes,media.control,N/A,playwright,Edge/Chrome,No,Not run,Source only,Unverified,Depends on browser,None,WORKING IN SOURCE ONLY,No action needed
Music,Stop music,Close YouTube tab,skills/media.py,control,No,Yes,Yes,media.control,N/A,None,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Music,Next track,Shift+N on YouTube tab,skills/media.py,control,No,Yes,Yes,media.control,N/A,playwright,Edge/Chrome,No,Not run,Source only,Unverified,Depends on browser,None,WORKING IN SOURCE ONLY,No action needed
Music,OS media key fallback,pyautogui playpause/nexttrack,skills/media.py,control,No,No,No,N/A,N/A,pyautogui,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Desktop organizer,Organize desktop,Sort files into category folders,skills/organizer.py,organize,Yes,Yes,Yes,desktop.organize,N/A,shutil,None,No,Tested route,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Desktop organizer,Undo organize,Reverse last organize session,skills/organizer.py,undo,No,Yes,Yes,desktop.undo,N/A,shutil,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
System power,Shutdown,Shutdown with 60s timer and confirmation,skills/system_control.py,shutdown,No,Yes,Yes,system.shutdown,N/A,None,None,No,Tested route,Source only,Unverified,None,None,CONNECTED BUT NOT LIVE VERIFIED,Test shutdown confirmation flow
System power,Restart,Restart with 15s timer and confirmation,skills/system_control.py,shutdown,No,Yes,Yes,system.shutdown,N/A,None,None,No,Not run,Source only,Unverified,None,None,CONNECTED BUT NOT LIVE VERIFIED,Test restart confirmation flow
System power,Sleep,Sleep via SetSuspendState,skills/system_control.py,shutdown,No,Yes,Yes,system.shutdown,N/A,None,None,No,Not run,Source only,Unverified,None,None,CONNECTED BUT NOT LIVE VERIFIED,Test sleep
System power,Lock workstation,Lock PC via LockWorkStation,skills/system_control.py,lock_pc,No,Yes,Yes,system.lock,N/A,None,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
System power,Status report,CPU/RAM/disk/battery report,skills/system_control.py,status_report,No,Yes,Yes,system.status,N/A,psutil,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Self-test,OpenRouter test,Ping the configured model,main_window.py,_skill_test_openrouter,Yes,No,No,N/A,N/A,None,None,No,Not run,Source only,Unverified,None,None,GUI ONLY,No action needed
Self-test,Screenshot test,Capture screen,main_window.py,_skill_screenshot,Yes,No,No,N/A,N/A,pyautogui,None,No,Not run,Source only,Unverified,None,None,GUI ONLY,No action needed
Session Registry,End-to-end tracking,Register all opened items,core/registry.py,SessionRegistry,Yes,No,No,N/A,N/A,None,None,No,5 tests passed,Both,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Session Registry,Close by name,Fuzzy name matching for close,core/registry.py,close_by_name,Yes,No,No,N/A,N/A,psutil,None,No,Tested,Both,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Session Registry,Close all,Reverse-order teardown,core/registry.py,close_all,Yes,No,No,N/A,N/A,psutil,None,No,Tested,Both,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Settings,Settings persistence,Save/load config.json,core/settings.py,SettingsStore,Yes,No,No,N/A,N/A,None,None,No,5 tests passed,Both,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Settings,Audio device test,3s mic test + Piper speaker test,gui/settings_window.py,_on_test_mic,Yes,No,No,N/A,N/A,sounddevice,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Settings,Minimize to tray,Close to tray setting,gui/settings_window.py,_build,Yes,No,No,N/A,N/A,None,None,No,Not run,Source only,VERIFIED,None,None,WORKING IN SOURCE ONLY,No action needed
Settings,API key safety,Key never stored in settings,gui/settings_window.py,_build,Yes,No,No,N/A,N/A,None,None,No,Verified,Both,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
System tray,Tray icon,Procedural cyan ring icon,gui/tray.py,make_icon,Yes,No,No,N/A,N/A,PySide6,None,No,Not run,Source only,VERIFIED,None,None,WORKING IN SOURCE ONLY,No action needed
System tray,Tray menu,Start/Stop Voice Mute Logs Settings Exit,gui/tray.py,TrayIcon,Yes,No,No,N/A,N/A,PySide6,None,No,Not run,Source only,VERIFIED,None,None,WORKING IN SOURCE ONLY,No action needed
System tray,Tray notifications,ShowMessage on minimize,gui/tray.py,notify,Yes,No,No,N/A,N/A,PySide6,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
